"Data,""1.OrgUnit Ownership"",""2.OrgUnit Type(Level of Care)"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Wudil Local Government Area"","""",""kn Lajawa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bebeji Local Government Area"","""",""kn Ranka Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Madobi Local Government Area"","""",""kn Kwankwaso Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Kudu Local Government Area"","""",""kn Dawaki Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gabasawa Local Government Area"",""kn Garun Danga Ward"",""kn Garun Danga Model  Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kabo Local Government Area"",""kn Masamawa Ward"",""kn Kazode Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kibiya Local Government Area"",""kn Kibiya 1 Ward"",""kn Kibiya Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Madobi Local Government Area"",""kn Kanwa Ward"",""kn Kanwa Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Garko Local Government Area"",""kn Kafin Mallamai Ward"",""kn Lamire Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Sumaila Local Government Area"","""",""kn Sumaila Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Makoda Local Government Area"","""",""kn Wailare Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kibiya Local Government Area"",""kn Tarai Ward"",""kn Faran Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kunchi Local Government Area"","""",""kn Shamakawa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Rogo Local Government Area"",""kn Zoza Ward"",""kn Karshi Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Ajingi Local Government Area"",""kn Balare Ward"",""kn Balare Model Primary Health Care"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kunchi Local Government Area"",""kn Shuwaki Ward (KNC)"",""kn Dumbule Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Warawa Local Government Area"",""kn Imawa Ward"",""kn Imawa Health Post (WRA)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Sumaila Local Government Area"","""",""kn Gani Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Tofa Local Government Area"",""kn Ganduje Ward"",""kn Roba Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Albasu Local Government Area"",""kn Gagarami Ward"",""kn Jirago Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Tofa Local Government Area"",""kn Jalli Ward"",""kn Yumfawa Model Primary Health Center"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dala Local Government Area"",""kn Bakin Ruwa Ward"",""kn Bakin Ruwa Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Tofa Local Government Area"",""kn Kwa Ward"",""kn Romi Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gezawa Local Government Area"",""kn Tsamiyar Babba Ward"",""kn Larabar Abasawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gabasawa Local Government Area"",""kn Yautar Kudu Ward"",""kn Guruma Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"","""","""",""kn Ungogo Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tarauni Local Government Area"",""kn Babban Giji Ward"",""kn Hausawa Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Danbatta Local Government Area"",""kn Danbatta East Ward"",""kn Top Care Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tsanyawa Local Government Area"","""",""kn Yanganau Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tofa Local Government Area"","""",""kn Unguwar Rimi Ward (TFA)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kabo Local Government Area"",""kn Dugabau Ward"",""kn Unguwarturaki Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bichi Local Government Area"",""kn Kyalli Ward"",""kn Tsidau Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bunkure Local Government Area"",""kn Gafon Ward"",""kn Makunturi Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Tertiary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dala Local Government Area"","""",""kn Kofar Ruwa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Wudil Local Government Area"","""",""kn Indabo Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Madobi Local Government Area"","""",""kn Kubarachi Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tsanyawa Local Government Area"",""kn Kabagiwa Ward"",""kn Kabagiwa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Rimin Gado Local Government Area"",""kn Tamawa Ward"",""kn Magari Ingila Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tofa Local Government Area"",""kn Unguwar Rimi Ward (TFA)"",""kn Unguwar Rimi Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tofa Local Government Area"","""",""kn Lambu Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"","""","""",""kn Gwarzo Local Government Area"",""95.2"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Nassarawa Local Government Area"",""kn Kawaji Ward"",""kn Sauna Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Doguwa Local Government Area"","""",""kn Maraku Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Doguwa Local Government Area"","""",""kn Zainabi Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bichi Local Government Area"","""",""kn Bichi Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kunchi Local Government Area"",""kn Yan Dadi Ward"",""kn Yan Dadi Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Doguwa Local Government Area"",""kn Falgore Ward"",""kn Falgore Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Albasu Local Government Area"","""",""kn Duja Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Nassarawa Local Government Area"",""kn Kawaji Ward"",""kn Tokarawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kiru Local Government Area"",""kn Yako Ward"",""kn Yako Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tarauni Local Government Area"","""",""kn Gyadi-Gyadi Arewa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Kudu Local Government Area"",""kn Yan Katsare Ward"",""kn Yan Katsare Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Danbatta Local Government Area"","""",""kn Gwanda Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bichi Local Government Area"",""kn Kau Kau Ward"",""kn Damisa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Sumaila Local Government Area"","""",""kn Garfa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Albasu Local Government Area"",""kn Faragai Ward"",""kn Faragai Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kano Municipal Local Government Area"",""kn Zaitawa Ward"",""kn Mayanka Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Tofa Local Government Area"",""kn Tumfafi Ward"",""kn Tumfafi Adolescent Health Information Project Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Sumaila Local Government Area"","""",""kn Massu Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Ungogo Local Government Area"",""kn Tudun Fulani Ward"",""kn Gadan Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dala Local Government Area"",""kn Yalwa Dala Ward"",""kn Yalwa Primary Health Centre (DAL)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Danbatta Local Government Area"",""kn Fagwalawa Ward"",""kn Fagwalawa Cottage Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Karaye Local Government Area"","""",""kn Yola Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Ungogo Local Government Area"",""kn Fanisau Ward"",""kn Sabon Garin Kera Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Minjibir Local Government Area"","""",""kn Minjibir Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Sumaila Local Government Area"",""kn Magami Ward"",""kn Beta Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Garko Local Government Area"","""",""kn Garko Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gabasawa Local Government Area"","""",""kn Joda Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kiru Local Government Area"",""kn Bargoni Ward"",""kn Kailani Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kabo Local Government Area"","""",""kn Gammo Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Garum Mallam Local Government Area"",""kn Dakasoye Ward"",""kn Unguwar Kudu Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Minjibir Local Government Area"",""kn Kunya Ward"",""kn Danbawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Tofa Local Government Area"","""",""kn Gargari Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gwarzo Local Government Area"","""",""kn Madadi Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kumbotso Local Government Area"",""kn Dan Maliki Ward"",""kn Danmaliki Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Ajingi Local Government Area"","""",""kn Kunkurawa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kunchi Local Government Area"",""kn Bumai Ward"",""kn Danjaka Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tarauni Local Government Area"","""",""kn Babban Giji Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tarauni Local Government Area"","""",""kn Gyadi-Gyadi Kudu Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tarauni Local Government Area"",""kn Unguwar Gano Ward"",""kn Yar Akwa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kunchi Local Government Area"","""",""kn Kasuwar Kuka Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tsanyawa Local Government Area"",""kn Yan Kamaye Ward"",""kn Zakawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Karaye Local Government Area"",""kn Kafin Dabga Ward"",""kn Zungurau Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tsanyawa Local Government Area"","""",""kn Dumbulum Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Karaye Local Government Area"",""kn Yola Ward"",""kn Yola Model Primary Health Care (KRY)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Doguwa Local Government Area"","""",""kn Falgore Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gwarzo Local Government Area"",""kn Mai-Nika Ward"",""kn Dankyandi Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dala Local Government Area"","""",""kn Bakin Ruwa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bichi Local Government Area"",""kn Yallami Ward"",""kn Yar Tasha Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kura Local Government Area"","""",""kn Rugar Duka Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bebeji Local Government Area"",""kn Kuki  Ward"",""kn Nassarawar Kuki Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Takai Local Government Area"","""",""kn Kachako Ward"",""80.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Danbatta Local Government Area"",""kn Ajumawa Ward"",""kn Ajumawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gwale Local Government Area"",""kn Dorayi Ward"",""kn Ja'en Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Rimin Gado Local Government Area"",""kn Butu-Butu Ward"",""kn Butu-Butu Model Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Nassarawa Local Government Area"","""",""kn Kawaji Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Tofa Local Government Area"",""kn Gargari Ward"",""kn Dogon Marke Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Fagge Local Government Area"",""kn Fagge C Ward"",""kn Abubakar Imam Urology Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Albasu Local Government Area"",""kn Faragai Ward"",""kn Gwangwarandan Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"","""","""",""kn Rano Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kabo Local Government Area"",""kn Kanwa Kabo Ward"",""kn Kanwa Health Post (KBK)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Tertiary Health Facility"",""ng Federal Government"",""kn Kano State"","""","""",""kn Dala Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Danbatta Local Government Area"",""kn Gwarabjawa Ward"",""kn Shiddar Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dawakin Tofa Local Government Area"",""kn Tattarawa Ward"",""kn Zaura Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gwale Local Government Area"","""",""kn Kabuga Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bagwai Local Government Area"",""kn Bagwai Ward"",""kn Daddauda Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Tudun Wada Local Government Area"",""kn Yaryasa Ward"",""kn Shuwaki Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Albasu Local Government Area"","""",""kn Daho Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Doguwa Local Government Area"",""kn Unguwar Natsohuwa Ward"",""kn Asada Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gwarzo Local Government Area"",""kn Kara Ward"",""kn Kara Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kabo Local Government Area"",""kn Gude Ward"",""kn Dan Amale Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Sumaila Local Government Area"",""kn Gala Ward"",""kn Gala Dispensary"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bunkure Local Government Area"",""kn Bunkure Ward"",""kn Sabon Ruwa Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Gezawa Local Government Area"","""",""kn Wangara Gezawa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Warawa Local Government Area"",""kn Jigawa Ward"",""kn Jigawa Health Post (WRA)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Takai Local Government Area"",""kn Kuka Ward"",""kn Gamawa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kunchi Local Government Area"",""kn Matan Fada Ward"",""kn Falle Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Takai Local Government Area"",""kn Durbunde Ward"",""kn Durbunde Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Rimin Gado Local Government Area"",""kn Rimin Gado Ward"",""kn Rimin Gado Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Bichi Local Government Area"",""kn Bichi Ward"",""kn Dutsen Karya Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""kn Kano State"","""","""",""kn Kano Municipal Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Kabo Local Government Area"",""kn Durun Ward"",""kn Shadau Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Minjibir Local Government Area"",""kn Gandurwawa Ward"",""kn Gadurwawa Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Danbatta Local Government Area"",""kn Fagwalawa Ward"",""kn Tona Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""kn Kano State"",""kn Dala Local Government Area"",""kn Yalwa Dala Ward"",""kn Mailafiya Health Clinic"",""100.0"""
