"Data,""1.OrgUnit Ownership"",""2.OrgUnit Type(Level of Care)"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Organisation unit"",""Value"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Omala Local Government Area"",""ko Icheke Ward"",""ko Olokwu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"",""ko Aiyedayo Aiyedero Ward"",""ko Oroke 1 Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ibaji Local Government Area"",""ko Ojila Ward (Ibaji)"",""ko Echeno Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""Abuga Ozuja Ward"",""Ko Sharon Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ajaokuta Local Government Area"","""",""ko Patesi Abodu Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Ojoku 1 Ward"",""ko Ojoku Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ajaokuta Local Government Area"",""ko Adogwu / Ogodo Ward"",""ko Ogodo Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ajaokuta Local Government Area"","""",""ko Ebiya North Ward"",""33.3"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"",""ko Aduge Ogale Ward"",""ko Ayede Ogale Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Idah Local Government Area"",""7.7"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"","""",""ko Mopo Ward 09"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Bassa Local Government Area"","""",""ko Akuba 2 Ward"",""83.3"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Olamaboro Local Government Area"",""ko Olamaboro Ward 1"",""ko Igoti (Olamaboro) Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"",""ko Isanlu-Esa Ward"",""ko Okunran Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Enjema 4 Ward"",""ko Awulu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Oforachi 1 Ward"",""ko Alade Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ofu Local Government Area"",""ko Ochadamu Ward"",""ko Ochadamu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"",""ko Ilai Okegi Ward"",""ko Ilai Maternal and Child Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kogi Local Government Area"",""ko Kkf South East Ward"",""ko Ozi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"",""ko Ere Ward"",""ko Od-Ere General Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Idah Local Government Area"","""",""ko Igechaba Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Dekina Local Government Area"",""ko Odu 1 Ward"",""ko Ajaruwake Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Omala Local Government Area"",""ko Odoh Ward"",""ko Ajokpachi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Olamaboro Local Government Area"",""ko Olamaboro Ward 4"",""ko Ugbamaka (Olamaboro) Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"","""",""ko Kupa South Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"",""ko Kakadan Ward"",""ko Ataji Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"",""ko Oke-Egbe Ward"",""ko Mercy Clinic (Yagba West)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"","""",""ko Oworo Ward"",""66.7"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Bassa Local Government Area"",""ko Gboloko Ward"",""ko Emi Dale Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Ojoku 3 Ward"",""ko Akatapia Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Mopa-Muro Local Government Area"",""91.7"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ibaji Local Government Area"",""ko Onyedega Ward (Ibaji)"",""ko Onyedega Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okehi Local Government Area"",""ko Oboreke Eba Ward"",""ko Azee Maternity Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Idah Local Government Area"",""ko Ugwoda Ward"",""ko Ajaina Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Dekina Local Government Area"",""ko Iyale Ward"",""ko Iyale Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ofu Local Government Area"",""ko Ogwolawo 2 Ward"",""ko Obagwu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"","""",""ko Adavi-Eba Ward"",""66.7"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Ankpa Subbub 2 Ward"",""ko Ochi-Otago Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"","""",""ko Osisi Ipaku Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ofu Local Government Area"","""",""ko Ofoke Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"","""",""ko Ankpa Township Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Akpanya Ward (Igalamela-Odolu)"",""ko Agbokete Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"",""ko Iyara Ward"",""ko Oshanaye Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Enjema 4 Ward"",""ko Achele Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""ko Okeneba Agassa Ward"",""ko Agassa Health Post"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"",""ko Ileteju 2 Ward"",""Ko Ecwa Clinic Illeteju"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ofu Local Government Area"",""ko Ogwolawo 2 Ward"",""ko Agbogodo Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Omala Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ibaji Local Government Area"",""ko Ayah Ward (Ibaji)"",""ko Onugwa Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"",""ko Ere Ward"",""ko Odo-Ere DHU"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ajaokuta Local Government Area"",""ko Upaja/Uchuwa Ward"",""ko Inayere Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okehi Local Government Area"",""ko Eika Ward"",""ko Eika Ohizenyi Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Idah Local Government Area"",""ko Ichala Ward"",""ko Atanegoma Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"",""ko Makutu Ward 07"",""ko Makutu (Ward 7) Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ofu Local Government Area"",""ko Aloji Ward"",""Ko Ele-ojo Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"","""",""ko Ankpa Subbub 2 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""ko Odo-Ape Ward"",""ko Odo-Ape Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kogi Local Government Area"",""ko Akpasu Ward"",""ko Mozu Ete Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Omala Local Government Area"",""ko Bagana Ward"",""ko Idris Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"",""ko Lokoja Ward A"",""ko Helping Hands Women Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"","""",""ko Ife Olukotun 02 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Tertiary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Lokoja Local Government Area"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"","""",""ko Okeneba Agassa Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Bassa Local Government Area"",""ko Mozum Ward"",""ko Mozum Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"",""ko Adavi-Eba Ward"",""ko Gods Glory Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Idah Local Government Area"",""ko Ichala Ward"",""ko Ijobe Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Oji-Aji Ward"",""ko Olla Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Mopa-Muro Local Government Area"",""ko Odole 1 Ward"",""ko Odole MDG Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""ko Asuta Ward"",""ko Coner Stone Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Igalamela-Odolu Local Government Area"",""78.9"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Idah Local Government Area"",""ko Ede Ward"",""ko Ede Adejoh Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"",""ko Ogbom Ward 06"",""ko Aginmi Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okene Local Government Area"",""Abuga Ozuja Ward"",""ko Calvary Clinic (Okene)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Idah Local Government Area"",""ko Ugwoda Ward"",""ko Alokoina Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Enjema 3 Ward"",""ko MPHCDA Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""ko Asuta Ward"",""ko Compound Comprehensive School Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Okehi Local Government Area"",""ko Ohueta Ward"",""ko Ohueta Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Enjema 1 Ward"",""ko Odagba Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Omala Local Government Area"","""",""ko Okpacha Ward"",""60.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"",""ko Nagazi Ward"",""ko Deeza Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"","""",""ko Odo-Ara/Ogga/Omi Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"",""ko Nagazi Ward"",""ko Peoples Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"",""ko Odo-Ara/Ogga/Omi Ward"",""ko Odo-Era Basic Health Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""Ko Bolorunduro/Odoakete Ward"",""ko Aiyin-lle Family Support Programme Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ajaokuta Local Government Area"",""ko Geregu Ward"",""ko Larouk Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Tertiary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"","""",""ko Lokoja Ward A"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Ajaka 1 Ward"",""ko Ajaka Comprehensive Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""ko Asuta Ward"",""ko St John Catholic Hospital Kabba"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ofu Local Government Area"",""ko Itobe Ward"",""ko Itobe Ogane Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"","""",""ko Akutupa Kiri Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Ankpa Subbub 2 Ward"",""ko Ogodo Primary Health Centre (Ankpa)"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"","""",""ko Aduge Ogale Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"","""",""ko Odo-Egbe 3 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Bassa Local Government Area"",""72.1"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ajaokuta Local Government Area"","""",""ko Unosi Omgbo Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ijumu Local Government Area"",""ko Ayere Arima Ward"",""Ko Ayere Arimo Cottage Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"","""",""ko Ajaka 1 Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"",""ko Kuroko 1 Ward"",""ko Adavi Evangelical Church of West Africa (ECWA) Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Bassa Local Government Area"",""ko Gboloko Ward"",""ko Emi Boci Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba East Local Government Area"",""ko Aredu Ward 10"",""ko Iye Family Support Programme Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""ko Odolu Fehinti Ward"",""ko St Barnabars Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"","""",""ko Egge Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ibaji Local Government Area"",""ko Onyedega Ward (Ibaji)"",""ko Ottah Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ibaji Local Government Area"",""ko Ejule Ward (Ibaji)"",""ko Ejjule Onuh Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ankpa Local Government Area"",""ko Ankpa Ward 1"",""ko Emere Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"",""ko Kupa South Ward"",""ko Kayinko Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Olamaboro Local Government Area"",""ko Okpo Ward"",""ko Okpo General Hospital"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Ajaka 1 Ward"",""ko Ogbagbada Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Yagba West Local Government Area"","""",""ko Ejiba Ward"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Ajaka 1 Ward"",""ko Ajaka Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ibaji Local Government Area"",""ko Ayah Ward (Ibaji)"",""ko Odomomoh Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"",""ko Lokoja Ward A"",""ko Lokogoma Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Lokoja Local Government Area"",""ko Kakadan Ward"",""ko Gori Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Kabba/Bunu Local Government Area"",""ko Aiyewa Ward"",""ko Secret Heart Nusery Sch Clinic"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Private Facility"",""Secondary Health Facility"",""ng Federal Government"",""ko Kogi State"","""","""",""ko Ankpa Local Government Area"",""40.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Ibaji Local Government Area"","""",""ko Akpanyo Ward (Ibaji)"",""60.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Adavi Local Government Area"",""ko Idanuha Ward"",""ko Obuburu Primary Health Centre"",""100.0"""
"NHMIS Monthly Summary (version 2013) Reporting rate,""Public Facility"",""Primary Health Facility"",""ng Federal Government"",""ko Kogi State"",""ko Igalamela-Odolu Local Government Area"",""ko Ajaka 1 Ward"",""ko Ibochi-Okanekpa Clinic"",""100.0"""
